Coordinates
"[19.99224725, -155.82575643186394]"
"[34.0149264, -119.6745122]"
"[-34.8918753, 137.4594652]"
"[-34.1252157, 22.1134424]"
"[-41.1130927, 173.7566282]"
"[-4.2629126, -79.2235175]"
"[25.907562499999997, -80.12140990445131]"
"[38.1676305, -76.7680201]"
"[25.9002385, -80.1204579]"
"[25.9002385, -80.1204579]"
"[-39.6072711, 176.9457704]"
"[23.135305, -82.3589631]"
"[44.384111000000004, -68.20313000000002]"
"[19.593801499999998, -155.42837009716908]"
"[50.61196615, -57.20710070200717]"
"[-33.5377414, 151.2289558]"
"[-33.52604685, 151.21518219333777]"
"[41.283431, -72.283414]"
"[-34.388611, 19.131667]"
"[-34.3944454, 19.1328675]"
"[45.8930527, -123.96215514808253]"
"[33.86428, -118.39591]"
"[54.46223605, -7.80084118911941]"
"[62.4390366, 5.2930882011715825]"
"[34.7386913, 48.0074552]"
"[-30.5719444, 30.5736111]"
"[-20.6893694, 164.9440366]"
"[44.013693, -69.0597627]"
"[-36.928345, 174.7615436]"
"[19.7277834, -155.0915096]"
"[32.1618488, -80.7512616]"
"[32.1618488, -80.7512616]"
"[-18.30427, 146.0959]"
"[24.8032045, 125.3029776]"
"[-42.8825088, 147.3281233]"
"[27.080492, -80.13991799627857]"
"[27.080492, -80.13991799627857]"
"[-36.8586402, 174.7994107]"
"[-43.5808977, 172.7769488]"
"[34.5810015, -78.8128]"
"[39.8656687, -75.2332378]"
"[-34.3866667, 18.8622222]"
"[33.9135061, -78.3038892]"
"[33.9135061, -78.3038892]"
"[-32.04124495, 29.109184619398665]"
"[26.0281452, -80.1142111]"
"[26.0112014, -80.1494901]"
"[-9.437797549999999, 159.9624174786047]"
"[21.0172326, -156.6082865]"
"[20.9481316, -156.6919043]"
"[20.953821, -156.6862836]"
"[21.0177778, -156.6425]"
"[21.304547, -157.855676]"
"[21.3065436, -157.8694441]"
"[19.872352, -155.112214]"
"[23.2620755, 88.3324004]"
"[-16.3789278, 123.9595243]"
"[-10.60618815, 142.28105329264693]"
"[53.91159685, -0.18524042353448306]"
"[30.5442091, -98.3669797]"
"[-16.72858845, -151.01346965159058]"
"[30.41222845, -81.4064129268703]"
"[40.9228769, -73.7942996]"
"[-10.0981328, 147.7246967]"
"[40.68790815, -124.21452860844356]"
"[40.5997415, -123.8997734]"
"[-33.9777778, 25.6413889]"
"[-18.688134050000002, -174.1199006603]"
"[52.9393841, 0.4901743]"
"[33.6783336, -118.0000166]"
"[-1.94120795, 147.10195452723332]"
"[27.2961557, -80.2161581]"
"[27.2082178, -80.17803554667145]"
"[27.339806000000003, -80.2199211872526]"
"[27.2961557, -80.2161581]"
"[49.3594029, 2.7532645]"
"[28.3680548, -16.7176389]"
"[45.3067307, 14.2802176]"
"[-22.119441000000002, 166.1620932104533]"
"[50.7074877, -1.2927905]"
"[-14.792599, -39.0453843]"
"[-29.4095634, 153.36534589120652]"
"[32.5839444, -117.1130849]"
"[28.0914926, -80.5662467]"
"[28.1561668, -80.59173985965718]"
"[38.60992505, -75.06817326793]"
"[49.5565274, -122.9294604]"
"[28.1002928, -80.5733857]"
"[-26.0246199, 32.94350342435098]"
"[-33.6994998, 114.9889732]"
"[39.2859597, -76.6120433]"
"[27.6543167, -82.6075839]"
"[26.5804909, -80.045848]"
"[-30.048514, 30.8898693]"
"[45.537910350000004, 9.421999536297772]"
"[52.0579495, 1.1526345]"
"[34.66473655, 137.71320635143036]"
"[-33.8634282, 151.148633889396]"
"[-29.9847222, 30.9208333]"
"[26.07139455, -97.15873837249893]"
"[26.07139455, -97.15873837249893]"
"[-48.73041915, -75.20992433842258]"
"[-2.1454507, -79.8993758]"
"[21.2321047, -86.73222812171971]"
"[24.9242995, -80.6278404]"
"[44.44045055, -63.62599552771226]"
"[32.78677625, -79.78579264102592]"
"[32.7867697, -79.7880359]"
"[32.7867697, -79.7880359]"
"[32.7867697, -79.7880359]"
"[50.67108245, -1.3328042802764226]"
"[41.0096334, 28.9651646]"
"[-3.8734921, -40.3691794]"
"[-37.9141187, 144.6529936]"
"[16.807622700000003, -92.898650478142]"
"[33.7578962, 132.7039458]"
"[30.3321838, -81.655651]"
"[30.2946859, -81.3931396]"
"[30.3321838, -81.655651]"
"[40.6039936, -73.8354124]"
"[18.4069363, -76.949061]"
"[-38.347404850000004, 144.30644801557804]"
"[-34.051159600000005, 24.91939027873303]"
"[-34.051111, 24.922222]"
"[-34.051159600000005, 24.91939027873303]"
"[33.38034745, 126.54825445912047]"
"[31.0655982, -81.41431464659931]"
"[27.22089615, -80.25567726584178]"
"[27.2542129, -80.1961574]"
"[27.22089615, -80.25567726584178]"
"[27.22089615, -80.25567726584178]"
"[-35.1494368, 150.7085321]"
"[-35.1494368, 150.7085321]"
"[33.7576453, -78.8069862]"
"[25.12917345, -80.38655100915688]"
"[27.785866650000003, -82.78226986536532]"
"[-28.6324691, 153.5866751]"
"[22.292258, 114.25772364596526]"
"[26.8797819, -80.0533743]"
"[26.9342246, -80.0942087]"
"[26.9448576, -80.0751548]"
"[26.9342246, -80.0942087]"
"[47.289997, 7.1861808]"
"[-30.3040478, 115.0406027]"
"[20.939945950000002, -156.69132661033802]"
"[20.939945950000002, -156.69132661033802]"
"[-20.6679308, 164.3959969]"
"[20.9969443, -156.5509181]"
"[20.8747708, -156.4529879461996]"
"[-42.2365604, 173.60786325958316]"
"[21.4127778, -157.7380556]"
"[19.641941, -155.996933]"
"[-35.99572245, 173.94848706247348]"
"[21.2382, -157.4815]"
"[20.731544300000003, -156.4530372738763]"
"[37.0377582, 22.1109392]"
"[21.96022935, -159.35172239903682]"
"[-27.7109989, 114.1638162]"
"[21.3295398, -157.8846484]"
"[22.216627199999998, -159.4267245758242]"
"[-34.12717245, 18.44683161699767]"
"[20.72133105, -156.44740074805583]"
"[20.6480804, -156.0729952]"
"[20.89977655, -156.44189366786708]"
"[36.5780499, 136.6480247]"
"[-35.8182635, 137.15661254022396]"
"[21.4295199, -158.0202994]"
"[20.99490395, -156.6562339558182]"
"[-45.6380438, 170.6543012]"
"[7.8439574499999996, 98.29342474356653]"
"[-30.1247222, 30.8463889]"
"[22.3073175, 114.1654807776656]"
"[22.050466550000003, -159.55876775017003]"
"[-2.573474, 150.795224]"
"[10.0401126, 13.1307745]"
"[19.7347074, -155.0255267]"
"[20.6973636, -156.44457874600633]"
"[19.3949741, -154.92866822528492]"
"[21.970833, -159.715]"
"[-31.0798092, 152.842289]"
"[-33.6828572, 26.6717068]"
"[37.9650175, 23.6207952]"
"[58.89595185, 22.943522343623506]"
"[36.8265173, -114.1125291]"
"[-34.0094131, 20.3816509]"
"[25.6968351, -80.1635261]"
"[25.6968351, -80.1635261]"
"[25.6968351, -80.1635261]"
"[24.7209744, -81.0186827]"
"[25.091338, -80.46777414781022]"
"[25.1331795, -80.3920003]"
"[25.091338, -80.46777414781022]"
"[24.55907395, -81.80731969821272]"
"[24.5625566, -81.7724368]"
"[24.5625566, -81.7724368]"
"[29.240594299999998, 50.31172927653904]"
"[25.3491721, 56.3478105]"
"[25.3491721, 56.3478105]"
"[-34.6958202, 150.79591231385055]"
"[32.6082373, -80.0848166]"
"[39.5901611, -123.7777947]"
"[-33.1482225, 27.7018952]"
"[-33.1482225, 27.7018952]"
"[42.9997818, 141.443687]"
"[20.763395, -156.44639965521395]"
"[19.8594444, -155.9333333]"
"[-38.5491802, 145.4763722]"
"[-5.1482506, 38.3952741]"
"[-33.9689628, 25.64563889658681]"
"[-26.80463215, 153.1408585072595]"
"[-28.2566667, 153.5761111]"
"[-28.2723534, 153.58155312468637]"
"[17.9712148, -76.7928128]"
"[39.8574837, -74.1324342]"
"[33.7674461, -78.77787649821431]"
"[-33.9689628, 25.64563889658681]"
"[38.4294811, 22.4453006]"
"[-28.16619365, 153.53091052190172]"
"[41.5305053, -124.0390948]"
"[-4.3432175, 152.2686741]"
"[-30.5475, 29.424444]"
"[-4.2888155, 139.7561614]"
"[-38.364042, 144.75295687053023]"
"[11.0968195, -2.9290149]"
"[7.343275, 134.4766767]"
"[-27.2593136, 32.7522495]"
"[10.1183, 18.8573]"
"[-20.5613596, 164.2811715]"
"[-33.586608350000006, 26.862464291142842]"
"[45.2736336, 14.5702723]"
"[45.0488822, 14.4917084]"
"[19.810242350000003, -156.0067575248824]"
"[33.9968399, -77.9072081]"
"[-34.021293, 151.22589457474467]"
"[9.0833333, 167.3333333]"
"[-26.10405515, 28.06904265683159]"
"[32.83259, -117.2716839]"
"[-8.0, -78.5]"
"[-29.7547222, 31.0594444]"
"[18.4546571, -103.5538124]"
"[41.3903775, 2.1478544]"
"[-38.41874025, 142.00169080467163]"
"[12.64960355, 101.61866328741934]"
"[6.4550575, 3.3941795]"
"[30.245086, -85.91864]"
"[33.5426975, -117.785366]"
"[20.88717735, -156.6748023632949]"
"[20.88717735, -156.6748023632949]"
"[-34.52250215, 150.84046599133683]"
"[-33.06576870000001, 151.61098699880313]"
"[30.20506325, -90.09675943174909]"
"[26.6159698, -80.0569927]"
"[-4.799887200000001, 152.85328414975962]"
"[35.511134150000004, 12.59629135962961]"
"[20.830544099999997, -156.9029492509114]"
"[-31.0225285, 115.3301909]"
"[-31.006336949999998, 115.31650911324236]"
"[47.3588515, -52.7305352]"
"[-33.090717, 18.034889]"
"[26.5865308, -80.052166]"
"[-34.3719444, 21.4302778]"
"[-34.8266187, 138.4935504]"
"[34.9236095, 33.6236184]"
"[27.9580004, -15.6062305376665]"
"[28.51019385, -16.183842177689186]"
"[26.192028, -80.0964326]"
"[26.192028, -80.0964326]"
"[-32.2327612, 133.8203314560278]"
"[39.785057, -74.228473]"
"[-2.51950565, 150.23928861261473]"
"[47.7053428, -64.7155661]"
"[42.8662832, 1.3740316]"
"[-20.9413602, 55.28582056920702]"
"[34.4009409, -119.7006062372549]"
"[35.5807058, -121.1181443]"
"[-33.8735959, 151.1821609]"
"[53.4960455, -2.5171495]"
"[-32.024066250000004, 115.75071897887007]"
"[-28.7910334, 153.5878047]"
"[-28.7910334, 153.5878047]"
"[55.9480975, -4.8588537]"
"[-17.676398, 178.7901179]"
"[-38.3771824, 142.4317238]"
"[38.7733961, -75.1379574]"
"[9.8971118, -75.5736766]"
"[30.8057927, -95.0753116]"
"[-20.9328607, 167.16578476651785]"
"[43.3408935, -77.7644529]"
"[-28.8715325, 153.59041337083795]"
"[-32.4442517, 152.52607815993247]"
"[48.9921015, 1.7353686]"
"[9.3336001, -79.93037769672827]"
"[44.9617922, -124.0159522]"
"[-20.687121750000003, 164.9782514361625]"
"[-19.68192715, 149.1995611818486]"
"[-34.26194, 136.26056]"
"[-28.79363905, 153.26708675122956]"
"[33.4668348, -79.0997632]"
"[-34.08218, 22.1313964]"
"[-33.99139545, 151.2382961131534]"
"[33.728072, -78.850723]"
"[30.468825, -81.4181574]"
"[44.5112, -65.2092371]"
"[-14.6683188, 145.4609161]"
"[41.6973503, 2.8392392]"
"[37.9723854, -122.4822441]"
"[-27.9380952, 152.9734024]"
"[26.88421055, -80.05549134319088]"
"[33.7690164, -118.191604]"
"[33.7690164, -118.191604]"
"[22.6022505, -74.3271585]"
"[40.85149705, -73.0994258107431]"
"[24.819859, -80.821734]"
"[-33.7427559, 151.31812622430704]"
"[27.3358272, -82.5871343]"
"[42.020224150000004, -70.0378159644203]"
"[-34.04709165, 23.377877724278243]"
"[37.4384752, -79.161414]"
"[-31.5540166, 159.08562562605897]"
"[28.337194, -80.6102389]"
"[28.337194, -80.6102389]"
"[45.4274311, -62.703668]"
"[-3.2256522, 104.5752917]"
"[34.0536909, -118.242766]"
"[-25.380465299999997, -49.26453228733004]"
"[26.3913095, -81.87810640500138]"
"[39.016548, -74.947787]"
"[8.4681003, -13.2664884]"
"[20.62431105, 121.58712831212767]"
"[46.9377137, -65.9134304]"
"[20.801301799999997, -156.49058596919318]"
"[-43.653292750000006, 146.27596025649763]"
"[9.8650156, 124.5231626]"
"[45.6173146, -122.59206327385742]"
"[-5.1342962, 119.4124282]"
"[-34.0564228, 18.754151569165085]"
"[-9.6476843, -35.7339264]"
"[-21.141956, 149.1865149]"
"[-30.9064024, 152.590455]"
"[-5.0, 145.5]"
"[45.5142104, 9.6730931]"
"[13.0836939, 80.270186]"
"[-22.266050800000002, 166.4722804730436]"
"[-19.1421421, 146.83354856403196]"
"[50.92784065, 22.22437153014593]"
"[-20.4111041, 57.7060616]"
"[-10.3833107, 149.358696]"
"[-27.9787768, 153.4271228]"
"[-27.97365715, 153.42665764231737]"
"[21.8684403, -159.4434653]"
"[20.6539101, -156.4410367355069]"
"[20.655027, -156.4424385]"
"[-10.6341509, 161.848234]"
"[-16.23439185, 167.49917237816018]"
"[-16.23439185, 167.49917237816018]"
"[34.035591, -118.689423]"
"[21.3437323, -157.8653016]"
"[26.5692364, -80.0447635]"
"[-4.077508, 145.03595563266623]"
"[27.0106145, -82.4125962]"
"[40.1251202, -74.0966255]"
"[27.5213933, -82.3801566]"
"[24.218820450000003, -77.7176144625749]"
"[33.8915985, -118.3951241]"
"[41.7125681, -82.8324515]"
"[44.6432775, -81.2553503]"
"[-33.7971937, 151.2879845]"
"[7.674124750000001, 78.93709277882492]"
"[-31.8517188, 152.1004561]"
"[41.9265837, -70.5392325]"
"[36.927596449999996, -121.85945593041086]"
"[-46.6087287, -68.1931292]"
"[-5.558333, 154.619444]"
"[41.586343, -4.189038]"
"[18.79274175, -110.98203134657055]"
"[-36.8807523, 175.0426441]"
"[24.7137524, -81.0903512]"
"[24.7137524, -81.0903512]"
"[25.9363356, -81.7156832]"
"[41.8910565, -69.9614174]"
"[-41.7253759, 174.2048661]"
"[11.0205596, -63.90739842745219]"
"[51.3878174, 1.3819699]"
"[-6.179180949999999, 53.14419787187471]"
"[36.6987342, -121.8091734]"
"[42.3667019, -71.049326]"
"[-39.4863846, 176.91955]"
"[41.7697883, 12.6586082]"
"[-35.238043, 136.9790673]"
"[-26.6556523, 153.0946684]"
"[-26.65951775, 153.1048356361493]"
"[-33.9453441, 151.2456824]"
"[-33.9497989, 151.2620583]"
"[-33.9496372, 151.2567007457838]"
"[41.9787807, -71.4737739]"
"[25.069992, 34.893817]"
"[25.5685088, 34.63782434339299]"
"[35.8629162, 14.5591879]"
"[35.8629162, 14.5591879]"
"[-20.28572705, 149.0686452163714]"
"[-26.1242027, 152.5715907]"
"[-25.537583, 152.7019182]"
"[54.5562536, 23.3503665]"
"[34.1848928, -77.8122048]"
"[34.1254492, -77.8580398]"
"[28.698526700000002, -96.21486080012639]"
"[23.0469365, -81.5785643]"
"[29.7060576, -81.2258332]"
"[-35.0339202, 173.9110995]"
"[33.8395188, 132.7653521]"
"[21.596511, 93.444026]"
"[20.802956799999997, -156.31068331602177]"
"[-23.86996285, 35.310326824828735]"
"[-23.80425795, 35.419416651059244]"
"[30.38425255, -81.41534028069897]"
"[23.2313053, -106.4153144]"
"[54.90876465, -5.035009275937315]"
"[44.846673, 11.0676]"
"[-37.8142176, 144.9631608]"
"[28.0683496, -80.5603303]"
"[28.0683496, -80.5603303]"
"[28.106471, -80.6371513]"
"[-34.0994444, 18.8108333]"
"[-34.0994444, 18.8108333]"
"[-33.722222, 18.445833]"
"[41.5492765, -70.554751]"
"[-43.6537639, 172.9782823]"
"[-32.9483779, 151.75666809035215]"
"[-32.949294300000005, 151.7569150124108]"
"[-36.8882027, 149.909846]"
"[-28.0447106, 153.4373204]"
"[-28.0513, 153.4191232]"
"[31.3528567, 27.2395262]"
"[34.0394834, -118.6707913]"
"[-23.1525115, 150.9053936]"
"[25.7741728, -80.19362]"
"[25.7929198, -80.1353006]"
"[25.7929198, -80.1353006]"
"[25.7929198, -80.1353006]"
"[39.4452074, -84.11587036795812]"
"[25.7741728, -80.19362]"
"[25.7741728, -80.19362]"
"[47.6619899, -52.6696601]"
"[-33.7911216, 151.2341749799246]"
"[43.099226349999995, -89.48401970864023]"
"[48.651057, -123.556366]"
"[-34.2303901, 18.4765432]"
"[-33.8599129, 151.2041274]"
"[-34.2303901, 18.4765432]"
"[-37.5949379, 140.3526512]"
"[-33.87852575, 18.48987686190683]"
"[-31.6897332, 115.7091824]"
"[14.6052241, 121.0968884]"
"[23.1176342, -82.4311878]"
"[22.48988395, 114.4011686786859]"
"[38.9473346, -75.3149139]"
"[32.7825908, -117.2524943]"
"[-28.2781542, 32.4860674]"
"[30.3818646, -89.0439248]"
"[36.3657792, 140.4713933]"
"[-3.2889602, 37.3540536]"
"[-36.1206792, 144.7517441]"
"[30.4426967, -88.0091625]"
"[-12.565282799999999, -42.46758697919813]"
"[-26.7907402, 153.1421093]"
"[-26.7905687, 153.14356639585577]"
"[2.0349312, 45.3419183]"
"[42.27702095, 18.83219643004913]"
"[-35.3199025, 150.4763977]"
"[-4.05052, 39.667169]"
"[18.5, -68.0]"
"[-33.6769931, 151.3029577]"
"[-33.68273345, 151.3114565192589]"
"[-33.6769931, 151.3029577]"
"[6.328034, -10.797788]"
"[45.5749966, 2.8094117]"
"[41.043629800000005, -71.94387532055404]"
"[35.293805250000005, -120.86155658944107]"
"[36.7999557, -121.9010668]"
"[36.7999557, -121.9010668]"
"[36.600256, -121.8946388]"
"[53.2609091, -9.0736041]"
"[49.1541241, -95.8965076]"
"[-26.6852565, 153.1131848665925]"
"[-26.681142899999998, 153.12190629808532]"
"[-30.2059311, 153.1521065]"
"[41.029767, -124.110057]"
"[41.3839, -71.57235]"
"[-17.533306000000003, -149.83860061183017]"
"[-38.0067174, 145.0875658]"
"[34.7229391, -76.7260436]"
"[-27.2397819, 153.2539994]"
"[-27.19264975, 153.39431796425487]"
"[-16.5625647, 139.34064086040513]"
"[35.3658075, -120.8499013]"
"[35.369669, -120.8676994]"
"[35.39266105, -120.86503268374642]"
"[-34.1832022, 22.1536248]"
"[-9.01219185, -157.89543775141027]"
"[-38.3023827, 144.9948484]"
"[32.7940651, -79.8625851]"
"[-37.1423163, 150.0043599]"
"[39.9479049, -1.366237]"
"[45.2400254, 14.2518849]"
"[-11.68113125, 27.495083794818747]"
"[-28.9551784, 31.7556978]"
"[-26.614682350000002, 153.1147404944901]"
"[-34.0978389, 18.484570761750607]"
"[-34.1024313, 18.4687919]"
"[-30.0769195, 153.2046516]"
"[27.6191996, -82.7239891]"
"[42.3503329, 13.38879]"
"[39.420945, 9.573551]"
"[-36.8249997, 174.4387813]"
"[-33.8005556, 18.3772222]"
"[33.5499183, -79.0430329]"
"[-28.2687168, 153.49050311103855]"
"[27.67676955, -97.18606748956135]"
"[27.739476, -97.1316551]"
"[-35.05162675, 117.69728089121375]"
"[31.2330994, -89.2701912]"
"[33.6956461, -78.8900409]"
"[33.6956461, -78.8900409]"
"[42.3999542, -71.0908345]"
"[-31.1608055, 29.2625766]"
"[31.9291317, 34.7336383]"
"[-16.8418224, 177.4675454]"
"[42.4264859, -70.9189371]"
"[-32.9838889, 27.9263889]"
"[-32.9831463, 27.9201396]"
"[-33.0001067, 27.934609995611453]"
"[-32.9838889, 27.9263889]"
"[21.0306924, -156.588318]"
"[-3.6641739, 152.4407285]"
"[51.561043600000005, -0.12364885344920215]"
"[-39.4902099, 176.917839]"
"[40.8359336, 14.2487826]"
"[25.0783456, -77.3383331]"
"[25.08335515, -77.3063341678734]"
"[26.799085, -80.124257]"
"[59.9348232, 30.3610625]"
"[-18.2265812, 178.1644067]"
"[42.707735650000004, -89.43821429750913]"
"[-10.120496500000002, 142.14084750006657]"
"[-0.5864554, 114.4557689]"
"[-33.8956131, 151.2729215]"
"[26.5256179, -80.0666026]"
"[-27.4594917, 153.0315386]"
"[-16.910751, 145.7336204]"
"[14.494011, 121.0199263]"
"[28.3194741, -80.6102592]"
"[-9.423301, 142.53698318272365]"
"[34.1591324, -118.5016166]"
"[41.8896818, -87.6314633]"
"[-28.0266892, 153.4186814]"
"[-17.6043956, 177.4530138]"
"[-9.957593, 142.17949937168873]"
"[-5.2215389000000005, 145.78763646730584]"
"[30.181454950000003, -85.714607981639]"
"[34.0206714, -118.7878819]"
"[27.8332175, -97.0618324]"
"[63.4290983, 10.4050519]"
"[28.6149968, -96.6260892]"
"[-9.4189857, 147.14966035050725]"
"[30.3344544, -90.8447491]"
"[-4.1984592, 152.1728287]"
"[17.5489419, -88.2903808]"
"[-27.956831, 153.404977]"
"[32.79839455, 35.685218991787806]"
"[-33.9130438, 151.2012935]"
"[-33.9130438, 151.2012935]"
"[-10.5844089, 142.2192935]"
"[-18.6515538, -173.9833124]"
"[-34.1022248, 23.374316]"
"[53.3701648, -3.00589]"
"[-9.56798335, 143.656397702098]"
"[29.3000808, -81.0472097]"
"[30.311908, -81.3964734]"
"[30.3194614, -81.3949947924233]"
"[-28.2278537, 153.2350032]"
"[45.106302, -123.9834096]"
"[25.154009, -80.5090292]"
"[-40.9338966, 144.6361724]"
"[35.1084931, -77.0441143]"
"[45.0628999, -93.2060969]"
"[34.2751052, -77.8818627]"
"[29.9499323, -90.0701156]"
"[29.0294202, -81.02083424215786]"
"[29.0294202, -81.02083424215786]"
"[29.0294202, -81.02083424215786]"
"[29.0294202, -81.02083424215786]"
"[29.0294202, -81.02083424215786]"
"[40.7127281, -74.0060152]"
"[54.9738474, -1.6131572]"
"[54.9738474, -1.6131572]"
"[-32.93076175, 151.78509594452277]"
"[44.0249967, -69.5716462]"
"[41.96367505, -69.99587744194287]"
"[39.09437025, -84.49771605201767]"
"[33.6170092, -117.9294401]"
"[44.636755, -124.053442]"
"[12.2431693, 109.1898675]"
"[-12.1804346, 136.7759913]"
"[43.7009358, 7.2683912]"
"[38.554577, 15.936695]"
"[-4.67564635, -174.53740996315713]"
"[19.128776, -155.5101478]"
"[36.810352800000004, 28.238025155052227]"
"[-15.603246949999999, -175.64051703438065]"
"[-31.446369699999998, 152.92949693997366]"
"[-32.921545300000005, 151.7952903689154]"
"[-0.7230889, 174.4316034699009]"
"[-34.102778, 18.38]"
"[-34.0391667, 25.6388889]"
"[-26.3181415, 152.93140931825064]"
"[-26.3970775, 153.0897466]"
"[-33.2816667, 151.5677778]"
"[-33.2643752, 151.5581978]"
"[52.666667, 1.0]"
"[49.6948768, 0.5941406]"
"[54.8520232, -1.5967757]"
"[-33.46042105, 151.43826264743535]"
"[37.8011749, -122.4090021]"
"[-29.846709099999998, 31.035285842256584]"
"[32.7891742, 35.5390015]"
"[29.846785, -81.273769]"
"[27.66615065, -80.36232875864306]"
"[-33.882351, 151.2768611]"
"[33.963331499999995, -77.92667234305969]"
"[-31.98805315, 115.75230448949628]"
"[-34.0509649, 151.1563013697167]"
"[41.021946, -72.31382927939268]"
"[-14.81887, 134.42627]"
"[-33.820842, 151.2870299]"
"[20.7849662, -156.4638558]"
"[20.23779785, -155.81489481229508]"
"[33.8278405, -78.6800323]"
"[-33.70760185, 151.3044080802595]"
"[-29.8675687, 31.05652417215803]"
"[38.35705175, -123.06787770071175]"
"[-33.3661513, 151.49334329257812]"
"[-33.7891393, 151.287105]"
"[34.4901665, -77.43163]"
"[34.4901665, -77.43163]"
"[41.506534, -81.6939953]"
"[54.7734594, -1.5749322]"
"[-22.2745264, 166.442419]"
"[-22.2649896, 166.40190174956027]"
"[-17.8907712, -39.3725471]"
"[45.3168509, 13.5649454]"
"[32.800407, -117.231262]"
"[24.8255583, -107.4327763]"
"[-16.16091, 179.96263]"
"[21.2854667, -157.7339907]"
"[-27.1283501, -109.290479]"
"[21.48343645, -158.03648372697478]"
"[-16.5861445, 145.523438445595]"
"[33.9046184, -78.0827699]"
"[-39.117824999999996, 173.9400194995007]"
"[-45.0997681, 170.9684232]"
"[5.633333, 7.766667]"
"[37.756151349999996, -122.51018496812173]"
"[39.2776156, -74.5746001]"
"[33.8943393, -78.426672]"
"[-31.7569941, 115.7380757]"
"[35.1123109, -120.62625990000001]"
"[33.1958696, -117.3794834]"
"[35.1146152, -75.9810097]"
"[35.1086758, -75.9860171]"
"[35.1311569, -75.91384675150908]"
"[35.1146152, -75.9810097]"
"[25.7828185, -80.1403424]"
"[32.7915945, -79.7847149]"
"[33.7199561, -78.8799874]"
"[-33.5899681, -70.5760593]"
"[32.1288331, 20.0817204]"
"[31.351354, -85.846543]"
"[36.802906, -76.206275]"
"[45.4261563, -122.8497679]"
"[26.7489586, -82.262039]"
"[-27.4966392, 153.0334334]"
"[40.665306, -73.9124755]"
"[25.6674526, -100.1094875]"
"[9.5769078, 121.1971542]"
"[-16.8769043, 145.7541751]"
"[38.134929, 15.656792]"
"[-54.9484451, -70.7757006]"
"[35.9062762, -75.5985967]"
"[-34.3314458, 18.4670252]"
"[23.0180737, -82.3958463]"
"[9.7968925, 123.3879049]"
"[32.8719871, -80.0174794]"
"[52.4046649, 4.6503069]"
"[45.218894, 12.2785805]"
"[-35.3249623, 138.473279]"
"[28.902479, -82.5926012]"
"[16.4098716, 120.5913841]"
"[4.9110609, 31.5970215]"
"[35.3134613, -82.52655798115751]"
"[30.3790898, -86.3474912]"
"[27.3933242, -80.3714259]"
"[27.3933242, -80.3714259]"
"[-33.42114, -70.7440364]"
"[5.4364461, 100.2913579]"
"[14.6010822, 121.0179486]"
"[32.183395, -80.716846]"
"[27.339806000000003, -80.2199211872526]"
"[-23.865961, 35.384363]"
"[14.6717039, 121.0368333]"
"[26.9489465, -80.0747637]"
"[20.039805, -155.828018]"
"[-28.0396806, 153.4004125]"
"[25.091338, -80.46777414781022]"
"[24.5612622, -81.79894817413077]"
"[31.7362453, 35.000052]"
"[59.41298665, 26.51765429595625]"
"[-6.7301976, 147.0008109]"
"[20.8738769, -156.6776784]"
"[43.683039, -72.400232]"
"[43.586508, -79.54626029456522]"
"[39.3142827, -74.5248756]"
"[33.6447433, -117.6405276]"
"[14.54929445, 121.05537479462903]"
"[-37.8479237, 144.9953808]"
"[36.7495289, 34.5307018]"
"[-33.353196, -70.7345129]"
"[-12.1804346, 136.7759913]"
"[-33.882351, 151.2768611]"
"[57.8041076, -152.3604789]"
"[39.2776156, -74.5746001]"
"[33.7872386, -118.401813]"
"[47.5693615, 7.5899974]"
"[28.3768395, -96.3943094]"
"[-33.5981844, 26.8914772]"
"[-33.6004217, 137.9311455]"
"[26.0968524, -80.1272606]"
"[28.359444, 33.077778]"
"[29.5581163, -98.599576]"
"[-32.0069345, 115.52076766295937]"
"[7.24062745, 79.85434295200449]"
"[43.931281, -59.9829486]"
"[33.1860145, -116.2225685]"
"[33.1860145, -116.2225685]"
"[33.7386766, -118.2873547]"
"[34.0374422, -118.3088623]"
"[42.8596892, -8.545859]"
"[50.9853201, -3.4915079]"
"[50.6288132, -1.1779031]"
"[27.8644422, 34.295447]"
"[8.4762873, -13.2326386]"
"[32.7616052, -79.8365159]"
"[34.46505775, -77.57412315290213]"
"[53.3088844, 0.2857241]"
"[36.4477257, 28.2237399]"
"[8.4762873, -13.2326386]"
"[-33.545195, -70.7697214]"
"[-35.6083254, 174.5244347]"
"[-30.7894765, 115.23698136734475]"
"[53.7444582, -2.3935759]"
"[32.183395, -80.716846]"
"[54.779251450000004, -1.5831771103146972]"
"[27.1056059, 142.16033177388374]"
"[30.6765961, -86.6037748]"
"[30.8402148, -86.5976935]"
"[42.1807018, 139.5186083]"
"[-7.2289861, -37.7490068]"
"[20.811858, -156.6221108]"
"[20.811858, -156.6221108]"
"[-36.33476195, 174.77954823434627]"
"[42.3937957, -82.21572148957597]"
"[42.1069559, -91.0151466]"
"[34.556018949999995, -77.29448233920672]"
"[34.8066583, 134.9664776]"
"[-16.22510615, 145.89791827142685]"
"[45.332782, 14.3029538]"
"[-46.4387778, 168.2305268]"
"[29.3086077, -81.07116708926922]"
"[29.2854132, -81.0557921]"
"[29.3451855, -81.06837747222221]"
"[29.3451855, -81.06837747222221]"
"[-18.617588050000002, 146.49532659453692]"
"[40.7977646, -77.86451396281032]"
"[-45.9131331, 170.55600477038737]"
