Coordinates
"[36.4814641, -94.2732642]"
"[33.5785232, -78.9996188]"
"[-34.362853, 150.9100489]"
"[-20.1978549, 57.7743491]"
"[-38.36898495, 144.2824517159807]"
"[-28.6462405, 153.5963962]"
"[-28.615510399999998, 153.5837114938711]"
"[38.5406255, -0.1290929]"
"[-18.3911869, 178.12285193309967]"
"[-36.4278621, 150.0773955]"
"[47.8011506, 3.8885033]"
"[28.9491539, -80.83783]"
"[28.9491539, -80.83783]"
"[33.8176114, -83.8074003]"
"[-35.173658700000004, 150.6087871232121]"
"[27.7403213, -82.6343022]"
"[24.68926855, -81.36890042063636]"
"[30.4835724, -81.4400884]"
"[-33.6443165, 151.324484]"
"[25.70318795, -79.28145926583792]"
"[-41.24899, 148.31215]"
"[-33.1491325, 115.6972499]"
"[43.9377147, 15.4477635]"
"[25.5659397, -80.2164388]"
"[25.503122349999998, -80.23484963198766]"
"[52.5394905, 85.2148673]"
"[-38.3373754, 145.177943]"
"[-33.7567789, 18.4653046]"
"[24.0962598, -76.4022591]"
"[43.69215385, -65.05312569839322]"
"[-26.1111111, 28.0075]"
"[-20.441603, 57.7177411]"
"[28.5723028, 34.5373553]"
"[53.2627118, -2.8876544]"
"[-29.8995214, 31.02602876953175]"
"[-8.127568100000001, -34.89766384326872]"
"[-8.1235027, -34.9033955]"
"[56.9769528, 60.4418651]"
"[18.4570748, -69.61487003494634]"
"[27.805859, -82.7859355]"
"[26.7489586, -82.262039]"
"[26.3586885, -80.0830984]"
"[38.2963494, -123.04877345111885]"
"[-34.266022, 21.910615]"
"[9.833333, 124.1615579]"
"[58.3810286, 11.439328594143262]"
"[29.4782878, -94.5799145]"
"[33.6950185, -118.0475619]"
"[-34.65930085, 150.85451672257915]"
"[48.9031, 2.48291]"
"[48.9031, 2.48291]"
"[-33.8906977, 151.2724119]"
"[-33.8906977, 151.2724119]"
"[-33.8930556, 151.2633333]"
"[26.339806, -81.7786972]"
"[4.4187274, 7.1301097]"
"[-32.9731677, 27.958663]"
"[48.50016265, 32.23494131548293]"
"[-25.6665615, 152.8996663]"
"[-32.24447495, 152.52830043393635]"
"[8.628846, -82.56469187547756]"
"[24.7297332, 125.43204247724408]"
"[43.7850512, 7.6591094]"
"[-33.981732550000004, 151.17954914436925]"
"[-33.981732550000004, 151.17954914436925]"
"[-21.0309795, 55.2265631]"
"[-21.0309795, 55.2265631]"
"[-21.5670707, 165.4965697]"
"[38.148971, 16.174004]"
"[40.2333789, -91.0626375]"
"[26.5256179, -80.0666026]"
"[-33.884175, 116.51975149155834]"
"[-33.8515199, 151.2459734]"
"[-18.413688800000003, 146.70953799854377]"
"[41.2795414, -72.8150989]"
"[30.6993189, -96.3497772]"
"[-12.10675445, 136.80918095832118]"
"[48.3905283, -4.4860088]"
"[-26.9886055, 153.132733]"
"[41.1670412, -73.2048348]"
"[13.0977832, -59.6184184]"
"[50.7267272, -2.757655559721381]"
"[50.8214626, -0.1400561]"
"[40.57964365, -73.96111081059607]"
"[-35.2800082, 138.4607019]"
"[-29.9383333, 31.0025]"
"[40.63591975, 17.688443357842537]"
"[11.293714399999999, -60.53249181388344]"
"[-21.0567563, 55.222542]"
"[-27.4689682, 153.0234991]"
"[-27.1609698, 152.5361974]"
"[41.661213, -71.2822716]"
"[34.0356902, -118.856329]"
